Row,avg_time,avg_err
WLK21,3.83882241,8.54871728961371e-16
WK20,7.00296418,8.03801469828613e-16
WLK21_CR,3.83882241,8.61533067109121e-16
WK20_CR,7.00296418,8.01581023779363e-16
AN19,2.49528148,4.52970994047064e-16
BTH14,1.38125652,2.62968801933994e-08
JL19,46.12399575,1.94569632490094e-07
JL19_CR,46.12399575,0.000342462477726091
