Row,avg_time,avg_err
WLK21,167.67011115,2.35811370430383e-15
WK20,257.1939758,2.69784194983913e-15
WLK21_CR,167.67011115,2.44471110022459e-15
WK20_CR,257.1939758,2.79776202205539e-15
AN19,475.61139896,2.57589316543516e-10
JL19,400.43961528,4.69369942912579e-10
JL19_CR,400.43961528,7.61025101028823e-06
