Row,avg_time,avg_err
WLK21,9.54941204,1.86961557346876e-15
WK20,16.83471698,1.73638881051374e-15
WLK21_CR,9.54941204,1.90514271025677e-15
WK20_CR,16.83471698,1.84297022087776e-15
AN19,206.01841254,5.57331958361829e-16
JL19,48.81333389,3.73216965368073e-07
JL19_CR,48.81333389,0.000446250746104846
