Row,log_1,log_2,log_3,log_4,log_5
Time_WLK21,47.03265,23.700825,31.368875,31.335234,27.757506
Error_WLK21,6.66133814775094e-16,4.44089209850063e-16,1.11022302462516e-16,8.88178419700125e-16,6.66133814775094e-16
Err_WLK21_CR,2.22044604925031e-16,8.88178419700125e-16,1.77635683940025e-15,3.10862446895044e-15,1.11022302462516e-15
Time_WLK21_eig,29.719516,13.689543,16.614541,15.66368,16.787768
Time_WLK21_grad,13.715552,7.778437,11.941379,12.561066,8.587023
Time_WK20,167.561604,112.034935,98.719445,80.146827,113.537906
Error_WK20,8.88178419700125e-16,0,1.11022302462516e-15,4.44089209850063e-16,2.22044604925031e-16
Err_WK20_CR,6.66133814775094e-16,0,1.77635683940025e-15,8.88178419700125e-16,6.66133814775094e-16
Time_WK20_eig,34.468886,14.854423,10.632282,12.686819,15.267448
Time_WK20_grad,132.54435,96.742723,87.496591,66.841277,97.700848
Time_JL19,420.558958,380.800227,226.12508,354.998596,438.213943
Error_JL19,4.44089209850063e-16,8.88178419700125e-16,2.22044604925031e-16,4.44089209850063e-16,6.66133814775094e-16
Error_JL19_CR,3.5527136788005e-15,2.17603712826531e-14,0,1.33226762955019e-15,4.21884749357559e-15
Time_JL19_eig,37.944933,11.414935,14.132189,12.39074,19.084926
Time_JL19_grad,381.941028,368.802274,211.341039,342.05417,418.557444
