Row,log_1,log_2,log_3,log_4,log_5
Time_WLK21,341.714866,176.017925,296.7657,195.289194,217.33786
Error_WLK21,1.77635683940025e-15,6.66133814775094e-16,4.44089209850063e-16,4.88498130835069e-15,4.44089209850063e-16
Err_WLK21_CR,1.33226762955019e-15,0,2.22044604925031e-16,2.66453525910038e-15,3.10862446895044e-15
Time_WLK21_eig,159.032422,85.514232,195.247242,88.277836,83.268362
Time_WLK21_grad,177.87149,87.695628,97.870524,103.885369,131.42839
Time_WK20,902.161504,479.472811,560.788915,373.43103,339.280734
Error_WK20,1.99840144432528e-15,4.44089209850063e-16,0,2.22044604925031e-15,4.44089209850063e-15
Err_WK20_CR,1.77635683940025e-15,4.44089209850063e-16,6.66133814775094e-16,1.77635683940025e-15,3.10862446895044e-15
Time_WK20_eig,25.230115,19.709461,26.3319,10.8734,15.186624
Time_WK20_grad,876.314353,459.219043,533.918678,361.962963,323.234754
Time_JL19,844.261579,843.766717,869.319588,863.521533,852.229027
Error_JL19,1.72775127538216e-11,9.28834786861898e-12,9.20263865111792e-12,6.32827124036339e-12,5.18873832788813e-12
Error_JL19_CR,4.79185531498949e-06,5.30275182719642e-06,5.16926884008839e-06,1.20157018299594e-05,9.85790800323016e-06
Time_JL19_eig,28.219436,18.488102,26.067362,11.525594,10.977965
Time_JL19_grad,815.3946,824.622322,842.647871,851.378227,840.554149
