Row,log_1,log_2,log_3,log_4,log_5
Time_WLK21,250.27605,215.537689,234.17532,158.839125,103.092667
Error_WLK21,8.88178419700125e-16,1.77635683940025e-15,2.22044604925031e-15,8.88178419700125e-16,4.44089209850063e-16
Err_WLK21_CR,1.77635683940025e-15,4.44089209850063e-16,2.66453525910038e-15,4.44089209850063e-16,0
Time_WLK21_eig,115.677685,127.03314,171.869902,87.651773,59.126643
Time_WLK21_grad,128.127487,82.960501,56.979185,66.581838,40.646612
Time_WK20,436.916973,288.404859,483.987586,218.732469,223.256551
Error_WK20,2.66453525910038e-15,1.33226762955019e-15,2.44249065417534e-15,0,4.44089209850063e-16
Err_WK20_CR,2.22044604925031e-15,1.33226762955019e-15,2.66453525910038e-15,8.88178419700125e-16,0
Time_WK20_eig,33.327933,32.414937,29.476923,19.853847,13.175688
Time_WK20_grad,403.060899,255.465807,453.912549,198.362237,209.481675
Time_JL19,878.357922,862.192157,831.403904,884.161439,871.874619
Error_JL19,2.17493731025087e-07,1.94365125327778e-07,6.09816421803799e-08,2.87912396146339e-08,7.14807031343412e-08
Error_JL19_CR,0.000728024423685358,0.000884884098726335,0.000216355275459046,0.000511249509191458,0.000261814793559578
Time_JL19_eig,38.697373,35.575581,25.679402,18.083659,16.464735
Time_JL19_grad,838.989082,826.062934,805.120969,865.538778,854.865653
