Row,log_1,log_2,log_3,log_4,log_5
Time_WLK21,706.97756,639.841453,751.782646,481.059803,538.12363
Error_WLK21,0,0,8.88178419700125e-16,0,8.88178419700125e-16
Err_WLK21_CR,4.44089209850063e-16,2.22044604925031e-16,4.44089209850063e-16,4.44089209850063e-16,1.11022302462516e-15
Time_WLK21_eig,553.872782,508.965162,647.611303,379.134396,440.974124
Time_WLK21_grad,118.607235,100.512023,77.369421,77.344729,72.968364
Time_WK20,1824.203373,1796.407914,1725.056414,1539.053855,1531.39595
Error_WK20,2.22044604925031e-16,6.66133814775094e-16,2.22044604925031e-16,4.44089209850063e-16,4.44089209850063e-16
Err_WK20_CR,4.44089209850063e-16,4.44089209850063e-16,8.88178419700125e-16,1.11022302462516e-15,8.88178419700125e-16
Time_WK20_eig,545.217753,528.814505,449.995752,372.890961,325.751917
Time_WK20_grad,1274.613382,1263.258461,1271.173078,1160.357886,1201.746655
Time_JL19,3248.641451,3586.203897,3429.529006,3115.803802,2961.276502
Error_JL19,2.22044604925031e-16,4.44089209850063e-16,0,4.44089209850063e-16,0
Error_JL19_CR,1.33226762955019e-15,7.32747196252603e-15,2.77555756156289e-14,2.93098878501041e-14,6.43929354282591e-15
Time_JL19_eig,377.222639,491.604521,747.391228,583.255655,281.20039
Time_JL19_grad,2866.209374,3090.520145,2677.914935,2528.499496,2676.166341
