Row,log_1,log_2,log_3,log_4,log_5
Time_WLK21,356.989371,182.039416,270.20999,199.163592,223.852324
Error_WLK21,1.77635683940025e-15,6.66133814775094e-16,4.44089209850063e-16,4.88498130835069e-15,4.44089209850063e-16
Err_WLK21_CR,1.33226762955019e-15,0,2.22044604925031e-16,2.66453525910038e-15,3.10862446895044e-15
Time_WLK21_eig,168.050502,85.076974,125.688994,90.168477,107.595871
Time_WLK21_grad,183.806067,94.174096,140.95016,105.789933,113.198654
Time_WK20,937.680309,444.996839,537.763694,347.51547,343.568944
Error_WK20,2.22044604925031e-15,4.44089209850063e-16,0,2.66453525910038e-15,4.44089209850063e-15
Err_WK20_CR,1.77635683940025e-15,4.44089209850063e-16,6.66133814775094e-16,1.77635683940025e-15,3.10862446895044e-15
Time_WK20_eig,26.017889,19.70274,33.31429,11.23696,10.951119
Time_WK20_grad,911.001499,423.102063,503.78947,335.687906,332.088937
Time_JL19,816.403331,803.243625,837.737639,815.347349,885.920145
Error_JL19,1.72772907092167e-11,9.28768173480421e-12,9.20263865111792e-12,6.32871532957324e-12,5.18962650630783e-12
Error_JL19_CR,4.79185531498949e-06,5.30275182719642e-06,5.16926884008839e-06,1.20157018299594e-05,9.85790800323016e-06
Time_JL19_eig,28.090181,13.628624,28.391362,11.7211,11.046726
Time_JL19_grad,787.725538,789.065907,808.69481,803.037211,874.271105
