Row,avg_time,avg_err
WLK21,5796.7238952,6.48370246381091e-15
WK20,7632.091982,1.49658063719471e-14
WLK21_CR,5796.7238952,6.61692922676593e-15
WK20_CR,7632.091982,1.56763491077072e-14
JL19,13605.0302796,3.26828661911804e-09
JL19_CR,13605.0302796,7.24529867368595e-06
